school_name,number_applicants,acceptance_rate,sat_quartile_range,act_quartile_range,sat_lower_quartile,sat_upper_quartile
Stanford University,47452,0.043,1440-1570,32-35,1440.0,1570.0
Harvard College,42749,0.047,1460-1580,33-35,1460.0,1580.0
Princeton University,35370,0.055,1440-1570,32-35,1440.0,1570.0
Columbia University,40203,0.055,1450-1560,33-35,1450.0,1560.0
Yale University,36844,0.061,1460-1570,33-35,1460.0,1570.0
California Institute of Technology,8367,0.064,​​ 1530-1560,35-36,1530.0,1560.0
Massachusetts Institute of Technology,21706,0.067,​​ 1500-1570,34-36,1500.0,1570.0
Brown University,38674,0.071,​​ 1440-1570,33-35,1440.0,1570.0
University of Chicago,32283,0.073,​​ 1490-1570,33-35,1490.0,1570.0
Pomona College,10401,0.07400000000000001,1390-1540,32-35,1390.0,1540.0
University of Pennsylvania,44961,0.077,1450-1560,33-35,1450.0,1560.0
Dartmouth College,23650,0.079,1440-1560,32-35,1440.0,1560.0
Bowdoin College,9332,0.08800000000000001,1330-1520,31-34,1330.0,1520.0
Duke University,35767,0.08900000000000001,1450-1570,33-35,1450.0,1570.0
Swarthmore College,11442,0.08900000000000001,1380-1540,31-35,1380.0,1540.0
Northwestern University,40585,0.091,1440-1550,33-35,1440.0,1550.0
Vanderbilt University,37310,0.091,1460-1560,33-35,1460.0,1560.0
Claremont McKenna College,6066,0.10300000000000001,1360-1510,31-34,1360.0,1510.0
Johns Hopkins University,29129,0.106,1470-1560,33-35,1470.0,1560.0
Cornell University,49114,0.109,1400-1560,32-35,1400.0,1560.0
Rice University,20923,0.111,1450-1560,33-35,1450.0,1560.0
Amherst College,10569,0.113,1410-1550,31-34,1410.0,1550.0
Barnard College,9320,0.11800000000000001,1340-1520,31-34,1340.0,1520.0
Bates College,8222,0.121,1270-1480,29-33,1270.0,1480.0
University of California—​Los Angeles,111322,0.12300000000000001,1290-1510,27-34,1290.0,1510.0
Tulane University,42185,0.129,1360-1520,31-33,1360.0,1520.0
University of Southern California,64352,0.13,1350-1530,30-34,1350.0,1530.0
Williams College,9560,0.13,1410-1550,32-35,1410.0,1550.0
Colby College,12313,0.13,1350-1510,31-33,1350.0,1510.0
Pitzer College,4358,0.133,1340-1490,30-33,1340.0,1490.0
Colorado College,9456,0.135,1300-1480,29-33,1300.0,1480.0
Harvey Mudd College,4045,0.13699999999999998,1490-1570,33-35,1490.0,1570.0
Georgetown University,22872,0.145,1370-1530,31-34,1370.0,1530.0
University of California—​Berkeley,89621,0.14800000000000002,1300-1530,28-34,1300.0,1530.0
Tufts University,22766,0.15,1390-1540,32-34,1390.0,1540.0
Washington University in St. Louis,31320,0.15,1470-1570,32-35,1470.0,1570.0
Middlebury College,9754,0.154,1360-1530,32-34,1360.0,1530.0
Carnegie Mellon University,27634,0.154,1460-1560,33-35,1460.0,1560.0
University of Notre Dame,22200,0.158,1400-1550,32-35,1400.0,1550.0
The Cooper Union,2447,0.16,1283-1510,31-34,1283.0,1510.0
New York University,79462,0.162,1370-1510,30-34,1370.0,1510.0
Haverford College,4963,0.163,1380-1540,32-34,1380.0,1540.0
Wesleyan University,13264,0.165,1320-1510,31-34,1320.0,1510.0
Hamilton College,8279,0.165,1370-1520,32-34,1370.0,1520.0
Northeastern University,62263,0.18100000000000002,1390-1540,32-35,1390.0,1540.0
Davidson College,5982,0.18100000000000002,1310-1485,30-33,1310.0,1485.0
Emory University,27559,0.185,1350-1520,31-34,1350.0,1520.0
Carleton College,7382,0.19,1360-1540,31-34,1360.0,1540.0
Georgia Institute of Technology,36856,0.20600000000000002,1300-1510,29-34,1300.0,1510.0
Washington and Lee University,5855,0.212,1348-1490,31-34,1348.0,1490.0
Wellesley College,6395,0.21600000000000003,1360-1530,31-34,1360.0,1530.0
Boston University,64481,0.221,1330-1500,30-33,1330.0,1500.0
Colgate University,9951,0.226,1330-1500,31-34,1330.0,1500.0
University of North Carolina—​Chapel Hill,42466,0.226,1300-1490,27-33,1300.0,1490.0
University of Michigan—​Ann Arbor,64972,0.22899999999999998,1340-1530,31-34,1340.0,1530.0
Vassar College,8961,0.237,1370-1530,31-34,1370.0,1530.0
Rhode Island School of Design,3913,0.239,1180-1440,26-32,1180.0,1440.0
University of Virginia,40839,0.239,1340-1500,30-34,1340.0,1500.0
Grinnell College,7349,0.244,1370-1530,30-34,1370.0,1530.0
Babson College,6362,0.24,1270-1450,28-32,1270.0,1450.0
University of California—​Irvine,95568,0.265,1180-1440,--,1180.0,1440.0
University of Miami,38919,0.271,1280-1420,29-32,1280.0,1420.0
Boston College,35552,0.272,1370-1490,31-34,1370.0,1490.0
Villanova University,22909,0.282,1320-1470,31-34,1320.0,1470.0
University of Richmond,12356,0.28300000000000003,1290-1460,30-33,1290.0,1460.0
California State Polytechnic University—​San Luis Obispo,54072,0.284,1250-1420,26-32,1250.0,1420.0
Trinity University,9864,0.28800000000000003,1290-1450,29-32,1290.0,1450.0
Case Western Reserve University,26642,0.293,1350-1520,30-34,1350.0,1520.0
University of Rochester,20216,0.295,1300-1500,29-33,1300.0,1500.0
University of California—​Santa Barbara,93457,0.29600000000000004,1260-1460,25-33,1260.0,1460.0
Wake Forest University,12559,0.29600000000000004,1320-1490,30-33,1320.0,1490.0
Skidmore College,11102,0.3,1220-1400,28-32,1220.0,1400.0
University of California—​San Diego,97901,0.302,1250-1470,26-33,1250.0,1470.0
Franklin and Marshall College,9502,0.304,1250-1460,28-32,1250.0,1460.0
Brandeis University,11798,0.311,1280-1500,29-33,1280.0,1500.0
Lafayette College,8521,0.315,1250-1440,28-33,1250.0,1440.0
American University,18984,0.315,1220-1380,27-31,1220.0,1380.0
University of Texas—​Austin,53525,0.318,1240-1470,27-33,1240.0,1470.0
Scripps College,3022,0.32,1333-1490,30-33,1333.0,1490.0
Lehigh University,15649,0.321,1280-1450,29-33,1280.0,1450.0
Macalester College,6598,0.32299999999999995,1320-1510,29-33,1320.0,1510.0
Smith College,5597,0.325,1340-1520,30-33,1340.0,1520.0
Bryn Mawr College,3332,0.331,1290-1510,29-33,1290.0,1510.0
Trinity College (Hartford),6096,0.335,1300-1460,29-32,1300.0,1460.0
Denison University,8042,0.33899999999999997,1210-1380,28-31,1210.0,1380.0
San Diego State University,69842,0.34,1110-1320,22-29,1110.0,1320.0
Kenyon College,6662,0.341,1270-1460,29-33,1270.0,1460.0
College of the Holy Cross,7200,0.342,1260-1430,28-32,1260.0,1430.0
Bucknell University,9845,0.342,1255-1430,28-32,1255.0,1430.0
Emerson College,12941,0.35600000000000004,1200-1390,27-31,1200.0,1390.0
Pepperdine University,11265,0.35700000000000004,1220-1420,26-32,1220.0,1420.0
Hampton University,13028,0.36,1040-1310,19-24,1040.0,1310.0
Oberlin College,7708,0.364,1280-1480,29-33,1280.0,1480.0
CUNY--Hunter,31030,0.364,1090-1260,--,1090.0,1260.0
Occidental College,7501,0.36700000000000005,1300-1480,28-32,1300.0,1480.0
Connecticut College,6784,0.374,1310-1450,30-33,1310.0,1450.0
College of William and Mary,14680,0.377,1320-1510,30-34,1320.0,1510.0
Mount Holyoke College,3908,0.382,1270-1490,27-32,1270.0,1490.0
Berea College,1576,0.382,1030-1213,22-27,1030.0,1213.0
Pratt Institute,7941,0.385,1100-1320,26-30,1100.0,1320.0
Soka University of America,464,0.38799999999999996,1180-1410,27-30,1180.0,1410.0
California State University--Los Angeles,39854,0.39,890-1080,15-20,890.0,1080.0
California State University--Long Beach,71297,0.39299999999999996,1040-1250,20-26,1040.0,1250.0
Reed College,5815,0.395,1325-1520,30-34,1325.0,1520.0
Binghamton University—​SUNY,38755,0.39799999999999996,1310-1440,28-32,1310.0,1440.0
Dickinson College,6426,0.401,1240-1410,28-32,1240.0,1410.0
University of Tulsa,8526,0.408,1180-1410,25-32,1180.0,1410.0
George Washington University,26968,0.409,1280-1470,29-33,1280.0,1470.0
University of California—​Davis,76647,0.41200000000000003,1150-1410,25-31,1150.0,1410.0
Stevens Institute of Technology,9265,0.414,1330-1480,30-33,1330.0,1480.0
St. Lawrence University,6998,0.424,1160-1350,24-30,1160.0,1350.0
Union College (Schenectady NY),6086,0.429,1220-1420,27-32,1220.0,1420.0
Rensselaer Polytechnic Institute,20402,0.43,1330-1500,29-33,1330.0,1500.0
Bentley University,9252,0.43200000000000005,1240-1410,28-32,1240.0,1410.0
CUNY--Baruch College,20303,0.434,1130-1330,--,1130.0,1330.0
Spelman College,9106,0.434,1080-1230,22-26,1080.0,1230.0
Loyola Marymount University,18592,0.43799999999999994,1230-1410,27-31,1230.0,1410.0
University of Maryland—​College Park,32987,0.441,1280-1480,29-33,1280.0,1480.0
Stony Brook University—​SUNY,37079,0.441,1230-1440,26-32,1230.0,1440.0
Rhodes College,5207,0.447,1220-1430,27-32,1220.0,1430.0
North Carolina State University—​Raleigh,30995,0.449,1250-1390,27-31,1250.0,1390.0
Baylor University,34582,0.45299999999999996,1200-1380,26-32,1200.0,1380.0
University of Dallas,4676,0.45299999999999996,1150-1360,24-30,1150.0,1360.0
Gettysburg College,6269,0.45399999999999996,1270-1420,26-30,1270.0,1420.0
Fordham University,46308,0.46,1250-1430,28-32,1250.0,1430.0
Texas Christian University,19028,0.47100000000000003,1150-1350,25-31,1150.0,1350.0
Southern Methodist University,13959,0.473,1300-1480,29-33,1300.0,1480.0
Providence College,11478,0.475,1210-1350,27-31,1210.0,1350.0
St. Olaf College,5694,0.475,1190-1430,26-32,1190.0,1430.0
University of New Mexico,12281,0.486,1040-1270,19-25,1040.0,1270.0
University of Georgia,26027,0.486,1240-1410,27-32,1240.0,1410.0
University of San Diego,13755,0.48700000000000004,1200-1350,26-31,1200.0,1350.0
University of Connecticut,34886,0.488,1210-1420,26-31,1210.0,1420.0
Santa Clara University,16300,0.488,1280-1440,28-32,1280.0,1440.0
Southwestern University,4766,0.49,1140-1320,23-29,1140.0,1320.0
Pennsylvania State University—​University Park,71903,0.491,1160-1370,25-30,1160.0,1370.0
Marist College,11260,0.49200000000000005,1210-1360,26-31,1210.0,1360.0
The College of New Jersey,13824,0.493,1160-1360,25-30,1160.0,1360.0
Worcester Polytechnic Institute,10645,0.494,1310-1470,29-33,1310.0,1470.0
Syracuse University,34981,0.499,1180-1370,25-30,1180.0,1370.0
University of La Verne,7276,0.509,1020-1205,20-26,1020.0,1205.0
Clemson University,29070,0.513,1230-1400,27-32,1230.0,1400.0
Austin College,4360,0.513,1110-1290,24-29,1110.0,1290.0
University of California—​Santa Cruz,55906,0.515,1200-1360,24-30,1200.0,1360.0
University of Washington--Seattle,45579,0.518,1240-1440,27-33,1240.0,1440.0
California State University--Fullerton,50105,0.527,1030-1200,19-24,1030.0,1200.0
University of Wisconsin—​Madison,43921,0.53,1330-1450,27-32,1330.0,1450.0
Colorado School of Mines,11756,0.531,1260-1460,27-33,1260.0,1460.0
Chapman University,14198,0.536,1190-1370,25-30,1190.0,1370.0
Ohio State University—​Columbus,47703,0.537,1250-1460,28-32,1250.0,1460.0
Texas Lutheran University,2198,0.5429999999999999,990-1160,19-25,990.0,1160.0
University at Albany—​SUNY,27529,0.5429999999999999,1090-1250,22-28,1090.0,1250.0
Georgia Southern,13858,0.545,1050-1200,20-25,1050.0,1200.0
College of Wooster,6352,0.547,1150-1380,24-31,1150.0,1380.0
San Jose State University,36243,0.547,1040-1260,19-26,1040.0,1260.0
California State Polytechnic University--Pomona,36660,0.555,1030-1250,19-27,1030.0,1250.0
Whitman College,4832,0.5579999999999999,1240-1450,28-33,1240.0,1450.0
Sarah Lawrence College,3325,0.5579999999999999,1240-1420,27-32,1240.0,1420.0
New School,9911,0.5660000000000001,1150-1360,24-30,1150.0,1360.0
University of Pittsburgh,32091,0.5670000000000001,1260-1440,28-33,1260.0,1440.0
University of California Riverside,49788,0.5670000000000001,1130-1340,24-30,1130.0,1340.0
University of Minnesota—​Twin Cities,40673,0.5670000000000001,1260-1480,26-31,1260.0,1480.0
Hobart and William Smith Colleges,4526,0.569,1203-1360,27-30,1203.0,1360.0
Abilene Christian University,11569,0.57,1040-1230,21-27,1040.0,1230.0
Bennington College,1494,0.57,1230-1390,28-32,1230.0,1390.0
Birmingham-​Southern College,3628,0.57,1040-1250,22-28,1040.0,1250.0
Fairfield University,12315,0.5710000000000001,1210-1350,26-30,1210.0,1350.0
Georgia State,19838,0.574,990-1190,21-26,990.0,1190.0
Texas A&M University—​College Station,42899,0.575,1160-1390,26-31,1160.0,1390.0
Saint Louis University,15120,0.575,1180-1370,25-31,1180.0,1370.0
St. John's College Annapolis,913,0.5760000000000001,1210-1450,24-33,1210.0,1450.0
Lake Forest College,4147,0.579,1110-1310,23-29,1110.0,1310.0
Kennesaw State University,13427,0.579,1080-1270,21-26,1080.0,1270.0
California State University--Fresno,18122,0.579,950-1130,16-22,950.0,1130.0
Rollins College,6167,0.583,1160-1340,24-30,1160.0,1340.0
University of Hawaii at Manoa,16244,0.584,1070-1270,21-26,1070.0,1270.0
University of Denver,21028,0.5870000000000001,1170-1350,26-31,1170.0,1350.0
Hampden-​Sydney College,3240,0.59,1050-1250,21-27,1050.0,1250.0
University of Illinois—​Urbana-​Champaign,43509,0.59,1220-1480,27-33,1220.0,1480.0
Millsaps College,4161,0.593,1080-1260,22-28,1080.0,1260.0
California State University--Northridge,30637,0.593,910-1130,16-22,910.0,1130.0
Clark University,7687,0.594,1200-1390,28-31,1200.0,1390.0
Lipscomb University,3638,0.595,1060-1320,22-29,1060.0,1320.0
Virginia Military Institute,1515,0.595,1090-1270,21-28,1090.0,1270.0
Purdue University—​West Lafayette,54912,0.598,1190-1440,25-32,1190.0,1440.0
Temple University,35599,0.6,1120-1320,24-30,1120.0,1320.0
Rutgers The State University of New Jersey—​New Brunswick,41348,0.601,1190-1410,25-31,1190.0,1410.0
Illinois Institute of Technology,5049,0.602,1190-1400,26-32,1190.0,1400.0
Yeshiva University,1508,0.603,1140-1400,22-30,1140.0,1400.0
Illinois Wesleyan University,3719,0.608,1120-1320,24-29,1120.0,1320.0
